arcId,groundStation,sat,meaCtrlST,meaCtrlET,feed
0,'ю╪жщ-1',нюпг-59,0,164,0
1,'ю╪жщ-1',нюпг-59,0,164,1
2,'додЧ-2',нюпг-165,0,263,0
3,'додЧ-2',нюпг-165,0,263,1
4,'гьаК-2',нюпг-140,0,379,0
5,'гьаК-2',нюпг-140,0,379,1
6,'Ё╓╢╨-1',нюпг-49,0,633,0
7,'Ё╓╢╨-1',нюпг-49,0,633,1
8,'ю╔цВ-2',нюпг-131,0,691,0
9,'ю╔цВ-2',нюпг-131,0,691,1
10,'╪яд╬к╧-1',нюпг-76,0,722,0
11,'╪яд╬к╧-1',нюпг-76,0,722,1
12,'╧Ч╤Ш╠У-1',нюпг-67,0,729,0
13,'╧Ч╤Ш╠У-1',нюпг-67,0,729,1
14,'иНшз-1',нюпг-156,0,864,0
15,'иНшз-1',нюпг-156,0,864,1
16,'©Б╤Шюу-1',нюпг-38,0,928,0
17,'©Б╤Шюу-1',нюпг-38,0,928,1
18,'ю╜хЬ-1',нюпг-164,0,934,0
19,'ю╜хЬ-1',нюпг-164,0,934,1
20,'╬фх╙-2',нюпг-48,0,955,0
21,'╬фх╙-2',нюпг-48,0,955,1
22,'жьгЛ-1',нюпг-58,0,972,0
23,'жьгЛ-1',нюпг-58,0,972,1
24,'гьаК-1',нюпг-66,0,1031,0
25,'гьаК-1',нюпг-66,0,1031,1
26,'╬фх╙-1',нюпг-147,0,1036,0
27,'╬фх╙-1',нюпг-147,0,1036,1
28,'©╕й╡-1',нюпг-155,0,1067,0
29,'©╕й╡-1',нюпг-155,0,1067,1
30,'м╜╢╗-2',нюпг-75,0,1078,0
31,'м╜╢╗-2',нюпг-75,0,1078,1
32,'додЧ-1',нюпг-139,0,1095,0
33,'додЧ-1',нюпг-139,0,1095,1
34,'╨ёдо-2',нюпг-58,22,1180,0
35,'╨ёдо-2',нюпг-58,22,1180,1
36,'╨ёдо-1',нюпг-58,24,1182,0
37,'╨ёдо-1',нюпг-58,24,1182,1
38,'Ё╓╢╨-2',нюпг-58,45,1196,0
39,'Ё╓╢╨-2',нюпг-58,45,1196,1
40,'ю╔цВ-1',нюпг-48,73,1198,0
41,'ю╔цВ-1',нюпг-48,73,1198,1
42,'ю╪жщ-2',нюпг-164,33,1204,0
43,'ю╪жщ-2',нюпг-164,33,1204,1
44,'пш╟╡-2',нюпг-147,7,1215,0
45,'пш╟╡-2',нюпг-147,7,1215,1
46,'пш╟╡-1',нюпг-147,8,1217,0
47,'пш╟╡-1',нюпг-147,8,1217,1
48,'©Б╤Шюу-2',нюпг-155,11,1226,0
49,'©Б╤Шюу-2',нюпг-155,11,1226,1
50,'жьгЛ-2',нюпг-147,17,1245,0
51,'жьгЛ-2',нюпг-147,17,1245,1
52,'ио╨ё-2',нюпг-75,34,1247,0
53,'ио╨ё-2',нюпг-75,34,1247,1
54,'ио╨ё-1',нюпг-75,36,1248,0
55,'ио╨ё-1',нюпг-75,36,1248,1
56,'нзбЁд╬фК-1',нюпг-155,26,1257,0
57,'нзбЁд╬фК-1',нюпг-155,26,1257,1
58,'м╜╢╗-1',нюпг-164,128,1268,0
59,'м╜╢╗-1',нюпг-164,128,1268,1
60,'©╕й╡-2',нюпг-138,51,1288,0
61,'©╕й╡-2',нюпг-138,51,1288,1
62,'гЮ╣╨-2',нюпг-147,103,1307,0
63,'гЮ╣╨-2',нюпг-147,103,1307,1
64,'гЮ╣╨-1',нюпг-147,104,1309,0
65,'гЮ╣╨-1',нюпг-147,104,1309,1
66,'╠╠╬╘-1',нюпг-66,76,1315,0
67,'╠╠╬╘-1',нюпг-66,76,1315,1
68,'╠╠╬╘-2',нюпг-66,77,1316,0
69,'╠╠╬╘-2',нюпг-66,77,1316,1
70,'нзбЁд╬фК-2',нюпг-138,155,1321,0
71,'нзбЁд╬фК-2',нюпг-138,155,1321,1
72,'╧Ч╤Ш╠У-2',нюпг-57,196,1342,0
73,'╧Ч╤Ш╠У-2',нюпг-57,196,1342,1
74,'иНшз-2',нюпг-147,212,1433,0
75,'иНшз-2',нюпг-147,212,1433,1
76,'╪яд╬к╧-2',нюпг-75,309,1485,0
77,'╪яд╬к╧-2',нюпг-75,309,1485,1
78,'ю╜хЬ-2',нюпг-138,355,1586,0
79,'ю╜хЬ-2',нюпг-138,355,1586,1
80,'ю╪жщ-1',нюпг-47,534,1633,0
81,'ю╪жщ-1',нюпг-47,534,1633,1
82,'додЧ-2',нюпг-57,604,1769,0
83,'додЧ-2',нюпг-57,604,1769,1
84,'гьаК-2',нюпг-65,723,1787,0
85,'гьаК-2',нюпг-65,723,1787,1
