taskId,taskPri,es,le,lastTime,satellite,class
0,8,2,58,41,卫星-59,1
1,4,3,69,44,卫星-131,1
2,3,6,61,44,卫星-76,0
3,6,9,68,47,卫星-58,0
4,7,10,63,43,卫星-59,0
5,1,11,77,40,卫星-165,1
6,2,15,81,50,卫星-59,1
7,10,17,86,40,卫星-59,1
8,1,17,77,43,卫星-140,1
9,9,18,79,41,卫星-165,1
10,3,18,89,45,卫星-38,1
11,7,24,93,50,卫星-59,1
12,10,26,89,49,卫星-59,0
13,4,30,95,44,卫星-58,1
14,9,32,109,48,卫星-75,1
15,6,34,105,49,卫星-156,1
16,10,35,112,50,卫星-165,0
17,4,35,98,41,卫星-155,0
18,5,40,103,45,卫星-155,1
19,9,42,101,46,卫星-59,0
20,10,43,110,49,卫星-155,0
21,8,49,113,47,卫星-140,1
22,8,53,125,49,卫星-140,0
23,1,61,118,40,卫星-59,1
24,10,61,127,48,卫星-58,1
25,2,63,132,46,卫星-155,1
26,2,72,131,43,卫星-75,0
27,8,74,137,50,卫星-59,0
28,8,74,144,41,卫星-155,0
29,5,77,154,50,卫星-138,0
30,2,78,137,42,卫星-138,0
31,3,86,148,40,卫星-59,0
32,9,88,162,46,卫星-59,1
33,5,88,162,46,卫星-59,0
34,6,88,148,50,卫星-131,0
35,9,89,158,48,卫星-59,1
36,3,91,152,49,卫星-76,0
37,1,92,157,50,卫星-75,1
38,10,94,165,49,卫星-59,1
39,3,96,159,45,卫星-67,0
40,7,98,170,50,卫星-58,0
41,10,102,160,42,卫星-75,1
42,5,103,161,42,卫星-59,1
43,5,108,170,50,卫星-147,1
44,2,110,183,43,卫星-140,1
45,9,115,175,40,卫星-49,0
46,5,117,193,48,卫星-48,0
47,6,118,188,50,卫星-147,0
48,8,125,177,42,卫星-58,0
49,9,131,196,45,卫星-67,1
50,5,132,190,46,卫星-66,0
51,6,134,194,45,卫星-165,0
52,8,136,214,49,卫星-75,1
53,10,138,212,44,卫星-155,1
54,8,139,212,49,卫星-58,0
55,5,141,210,47,卫星-140,1
56,9,143,202,47,卫星-156,1
57,4,145,211,45,卫星-75,0
58,1,151,221,48,卫星-156,1
59,3,154,223,48,卫星-140,1
60,2,158,224,44,卫星-140,0
61,1,160,237,48,卫星-164,0
62,5,170,242,47,卫星-75,1
63,2,172,235,46,卫星-147,0
64,9,177,230,41,卫星-155,1
65,5,205,272,40,卫星-165,1
66,10,210,274,47,卫星-76,0
67,3,230,293,41,卫星-38,0
68,2,235,302,40,卫星-138,0
69,3,237,304,47,卫星-75,0
70,8,241,311,45,卫星-147,1
71,10,247,312,43,卫星-131,0
72,5,259,315,42,卫星-156,1
73,7,262,325,45,卫星-156,0
74,6,265,323,41,卫星-48,0
75,9,270,344,50,卫星-66,0
76,10,271,343,47,卫星-49,0
77,1,271,322,40,卫星-164,0
78,3,286,345,40,卫星-164,1
79,9,287,352,42,卫星-147,0
80,6,288,349,45,卫星-66,1
81,4,294,352,44,卫星-57,0
82,5,295,364,43,卫星-38,0
83,8,297,354,44,卫星-49,0
84,2,298,355,46,卫星-155,0
85,5,302,374,50,卫星-76,1
86,3,308,378,45,卫星-38,0
87,9,310,376,44,卫星-140,1
88,1,314,387,49,卫星-131,1
89,8,318,379,42,卫星-147,0
90,1,320,377,47,卫星-140,0
91,6,324,399,48,卫星-66,0
92,5,328,396,40,卫星-49,0
93,8,329,405,46,卫星-67,0
94,4,329,401,43,卫星-147,1
95,8,334,410,46,卫星-38,0
96,5,337,393,46,卫星-147,0
97,10,338,407,43,卫星-75,0
98,8,359,418,46,卫星-48,1
99,7,370,430,41,卫星-147,0
100,4,372,446,46,卫星-75,0
101,1,373,434,45,卫星-156,1
102,2,376,430,42,卫星-49,0
103,9,377,433,46,卫星-38,1
104,2,383,451,50,卫星-138,0
105,6,386,440,42,卫星-58,1
106,2,392,454,47,卫星-155,1
107,6,400,473,44,卫星-67,0
108,9,405,466,48,卫星-49,1
109,7,405,471,46,卫星-138,1
110,1,406,478,46,卫星-131,1
111,6,406,477,42,卫星-58,1
112,10,443,515,44,卫星-76,0
113,6,443,509,48,卫星-75,0
114,9,457,532,50,卫星-58,1
115,7,461,536,50,卫星-58,0
116,6,461,535,49,卫星-57,0
117,1,464,531,40,卫星-139,0
118,7,465,531,42,卫星-147,0
119,7,472,533,48,卫星-164,1
120,1,478,538,40,卫星-164,0
121,7,478,555,49,卫星-58,0
122,8,482,555,44,卫星-139,1
123,9,492,552,50,卫星-67,0
124,1,511,570,42,卫星-147,1
125,5,514,574,43,卫星-38,1
126,5,519,579,42,卫星-155,0
127,9,523,585,49,卫星-76,0
128,5,523,597,50,卫星-147,1
129,7,528,581,40,卫星-76,1
130,3,534,595,49,卫星-38,1
131,1,539,596,44,卫星-38,0
132,4,539,618,49,卫星-155,0
133,6,543,617,46,卫星-76,0
134,3,548,613,50,卫星-138,0
135,9,550,624,47,卫星-48,0
136,1,552,616,47,卫星-138,1
137,5,555,618,48,卫星-47,1
138,10,556,615,43,卫星-57,0
139,8,567,635,46,卫星-38,1
140,8,568,633,46,卫星-58,1
141,6,578,642,42,卫星-138,0
142,8,587,653,49,卫星-47,0
143,2,589,653,46,卫星-48,0
144,5,610,673,47,卫星-58,1
145,8,621,685,46,卫星-147,1
146,1,624,693,41,卫星-156,0
147,1,629,691,42,卫星-76,0
148,1,641,708,42,卫星-58,0
149,8,642,699,41,卫星-48,0
150,8,646,703,47,卫星-75,0
151,8,651,723,43,卫星-38,0
152,1,651,719,45,卫星-47,0
153,3,659,720,46,卫星-38,0
154,9,666,729,48,卫星-76,1
155,10,667,737,44,卫星-147,0
156,6,669,737,49,卫星-67,1
157,7,670,726,43,卫星-147,1
158,10,674,745,44,卫星-58,1
159,1,678,743,40,卫星-164,0
160,1,681,759,50,卫星-57,1
161,9,683,756,49,卫星-139,1
162,6,684,762,48,卫星-164,0
163,6,684,762,50,卫星-47,0
164,2,685,761,48,卫星-138,1
165,8,694,748,41,卫星-58,1
166,4,701,768,45,卫星-38,0
167,5,702,772,48,卫星-147,1
168,6,708,767,46,卫星-139,1
169,4,710,785,46,卫星-164,1
170,2,710,782,48,卫星-164,0
171,4,710,780,43,卫星-155,1
172,4,715,781,44,卫星-138,1
173,2,716,784,46,卫星-139,0
174,2,722,795,48,卫星-48,0
175,1,724,788,50,卫星-58,1
176,5,725,800,49,卫星-147,1
177,1,733,809,47,卫星-147,1
178,9,734,799,46,卫星-66,0
179,3,735,790,41,卫星-138,1
180,7,748,817,46,卫星-147,1
181,10,760,825,47,卫星-164,1
182,7,771,829,48,卫星-147,0
183,2,778,850,46,卫星-38,0
184,2,783,836,43,卫星-155,0
185,6,785,844,45,卫星-147,0
186,10,787,844,46,卫星-57,1
187,4,789,851,44,卫星-47,0
188,5,792,854,49,卫星-155,0
189,5,796,862,45,卫星-47,0
190,2,797,857,49,卫星-164,0
191,8,799,856,47,卫星-75,0
192,4,803,880,47,卫星-38,1
193,5,809,880,45,卫星-47,0
194,5,824,887,42,卫星-66,0
195,3,831,895,49,卫星-66,1
196,4,839,911,47,卫星-58,0
197,2,839,906,45,卫星-57,0
198,4,844,906,48,卫星-57,1
199,8,849,913,45,卫星-138,0
200,10,865,926,43,卫星-48,1
201,3,865,930,47,卫星-75,0
202,4,866,932,41,卫星-48,1
203,4,866,940,45,卫星-147,1
204,2,872,941,50,卫星-58,1
205,1,872,937,44,卫星-147,1
206,2,878,935,41,卫星-58,1
207,2,884,958,46,卫星-47,0
208,2,885,940,41,卫星-139,0
209,9,890,959,46,卫星-139,0
210,2,894,955,46,卫星-48,1
211,5,898,964,50,卫星-57,0
212,4,900,968,43,卫星-147,1
213,3,901,957,43,卫星-138,1
214,10,913,981,40,卫星-58,1
215,6,920,998,50,卫星-147,1
216,7,922,981,47,卫星-66,1
217,1,923,988,46,卫星-58,0
218,10,927,984,42,卫星-155,1
219,4,929,1000,43,卫星-147,1
220,2,939,1013,45,卫星-147,1
221,3,942,1001,42,卫星-47,0
222,3,946,1005,43,卫星-138,1
223,6,952,1025,47,卫星-138,1
224,6,961,1027,43,卫星-75,0
225,7,966,1031,44,卫星-57,1
226,5,967,1041,44,卫星-147,1
227,8,972,1034,41,卫星-47,0
228,6,976,1031,44,卫星-66,0
229,7,986,1046,43,卫星-75,0
230,8,991,1052,49,卫星-75,0
231,2,1007,1084,48,卫星-57,1
232,7,1014,1076,41,卫星-57,1
233,10,1023,1102,49,卫星-58,1
234,7,1023,1089,40,卫星-147,1
235,3,1028,1085,43,卫星-66,0
236,9,1041,1105,47,卫星-58,1
237,8,1055,1107,41,卫星-57,1
238,1,1058,1128,50,卫星-58,0
239,3,1058,1112,41,卫星-147,1
240,2,1060,1130,48,卫星-75,1
241,10,1060,1114,43,卫星-75,0
242,1,1069,1134,42,卫星-164,0
243,3,1069,1134,43,卫星-58,0
244,5,1072,1145,48,卫星-147,1
245,9,1095,1153,42,卫星-75,1
246,9,1097,1160,47,卫星-66,0
247,4,1098,1174,49,卫星-65,0
248,8,1103,1177,46,卫星-155,0
249,7,1108,1168,41,卫星-147,1
250,3,1110,1167,46,卫星-146,1
251,3,1122,1187,46,卫星-155,1
252,4,1122,1180,42,卫星-4,0
253,5,1126,1185,49,卫星-155,0
254,5,1128,1200,48,卫星-155,0
255,8,1135,1190,45,卫星-146,0
256,4,1141,1192,40,卫星-57,1
257,1,1155,1208,42,卫星-66,0
258,2,1159,1219,46,卫星-75,0
259,7,1161,1216,41,卫星-164,1
260,9,1173,1249,49,卫星-66,0
261,10,1186,1245,40,卫星-4,1
262,7,1198,1268,43,卫星-66,0
263,2,1203,1258,40,卫星-146,0
264,3,1213,1284,47,卫星-57,0
265,2,1218,1273,43,卫星-4,0
266,10,1247,1302,43,卫星-138,0
267,6,1260,1331,41,卫星-4,0
268,5,1266,1335,42,卫星-47,0
269,8,1269,1340,42,卫星-4,0
270,8,1272,1333,43,卫星-66,0
271,4,1315,1392,47,卫星-146,1
272,1,1337,1399,46,卫星-146,0
273,5,1342,1412,41,卫星-147,0
274,9,1355,1419,44,卫星-4,0
275,7,1356,1422,48,卫星-64,1
276,2,1357,1426,48,卫星-73,0
277,4,1362,1436,50,卫星-4,1
278,4,1369,1440,44,卫星-75,1
279,1,1372,1441,44,卫星-4,1
280,2,1373,1433,40,卫星-137,1
281,1,1374,1451,48,卫星-146,0
282,8,1380,1451,46,卫星-56,0
283,3,1385,1441,45,卫星-147,1
284,3,1386,1448,42,卫星-64,1
285,7,1475,1531,46,卫星-4,1
286,7,1478,1535,40,卫星-153,1
287,2,1492,1553,44,卫星-47,0
288,10,1499,1560,50,卫星-46,0
289,10,1506,1561,45,卫星-145,1
290,4,1518,1571,42,卫星-4,0
291,7,1521,1583,47,卫星-145,0
292,10,1527,1587,48,卫星-73,0
293,6,1528,1589,43,卫星-46,1
294,1,1549,1610,50,卫星-73,0
295,9,1558,1624,44,卫星-73,0
296,3,1559,1617,43,卫星-145,1
297,3,1573,1636,41,卫星-47,0
298,6,1608,1680,48,卫星-73,1
299,3,1613,1680,43,卫星-73,0
300,6,1614,1670,43,卫星-146,1
301,2,1616,1673,45,卫星-137,0
302,2,1632,1701,45,卫星-65,1
303,5,1639,1716,47,卫星-73,1
304,10,1662,1727,42,卫星-64,0
305,3,1672,1744,47,卫星-64,0
306,1,1687,1748,42,卫星-153,0
307,1,1699,1766,40,卫星-145,1
308,1,1707,1773,43,卫星-137,1
309,5,1713,1770,43,卫星-46,0
310,8,1720,1797,49,卫星-145,1
311,10,1730,1782,41,卫星-64,0
312,6,1732,1788,40,卫星-73,0
